session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_castanets,0,29,male,castanets_0_08,reference,C1,incorrect,26491,
abx_castanets,0,29,male,castanets_0_03,reference,C1,correct,22390,
abx_castanets,0,29,male,castanets_0_14,reference,C1,incorrect,8622,
abx_castanets,0,29,male,castanets_0_15,reference,C1,correct,18172,
abx_castanets,0,29,male,castanets_0_27,reference,C1,incorrect,17962,
abx_castanets,0,29,male,castanets_0_26,reference,C1,incorrect,15286,
abx_castanets,0,29,male,castanets_0_07,reference,C1,correct,12979,
abx_castanets,0,29,male,castanets_0_10,reference,C1,incorrect,11573,
abx_castanets,0,29,male,castanets_0_25,reference,C1,incorrect,14914,
abx_castanets,0,29,male,castanets_0_24,reference,C1,correct,15195,
abx_castanets,0,29,male,castanets_0_01,reference,C1,correct,8278,
abx_castanets,0,29,male,castanets_0_23,reference,C1,incorrect,36839,
abx_castanets,0,29,male,castanets_0_31,reference,C1,incorrect,27954,
abx_castanets,0,29,male,castanets_0_40,reference,C1,incorrect,14723,
abx_castanets,0,29,male,castanets_0_11,reference,C1,incorrect,31495,
abx_castanets,0,29,male,castanets_0_18,reference,C1,correct,35804,
abx_castanets,0,29,male,castanets_0_29,reference,C1,incorrect,16996,
abx_castanets,0,29,male,castanets_0_38,reference,C1,correct,11821,
abx_castanets,0,29,male,castanets_0_30,reference,C1,incorrect,9368,
abx_castanets,0,29,male,castanets_0_04,reference,C1,incorrect,20214,
abx_castanets,0,29,male,castanets_0_39,reference,C1,incorrect,14613,
abx_castanets,0,29,male,castanets_0_32,reference,C1,correct,29773,
abx_castanets,0,29,male,castanets_0_21,reference,C1,correct,28989,
abx_castanets,0,29,male,castanets_0_17,reference,C1,correct,11496,
abx_castanets,0,29,male,castanets_0_00,reference,C1,incorrect,39664,
abx_castanets,0,29,male,castanets_0_36,reference,C1,incorrect,32308,
abx_castanets,0,29,male,castanets_0_16,reference,C1,correct,17052,
abx_castanets,0,29,male,castanets_0_37,reference,C1,correct,32881,
abx_castanets,0,29,male,castanets_0_06,reference,C1,correct,66403,
abx_castanets,0,29,male,castanets_0_02,reference,C1,incorrect,11383,
abx_castanets,0,29,male,castanets_0_34,reference,C1,incorrect,63300,
abx_castanets,0,29,male,castanets_0_05,reference,C1,correct,18716,
abx_castanets,0,29,male,castanets_0_09,reference,C1,incorrect,49361,
abx_castanets,0,29,male,castanets_0_20,reference,C1,incorrect,23094,
abx_castanets,0,29,male,castanets_0_28,reference,C1,correct,24973,
abx_castanets,0,29,male,castanets_0_13,reference,C1,incorrect,7759,
abx_castanets,0,29,male,castanets_0_12,reference,C1,incorrect,11463,
abx_castanets,0,29,male,castanets_0_41,reference,C1,correct,12092,
abx_castanets,0,29,male,castanets_0_33,reference,C1,correct,17919,
abx_castanets,0,29,male,castanets_0_19,reference,C1,incorrect,46268,
abx_castanets,0,29,male,castanets_0_35,reference,C1,correct,14567,
abx_castanets,0,29,male,castanets_0_22,reference,C1,correct,19663,
abx_castanets,1,29,male,castanets_0_38,reference,C1,correct,33873,
