session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_00,reference,C1,correct,139720,
abx_constant_phase_shift,0,30,male,castanets_0_01,reference,C1,incorrect,48070,
abx_constant_phase_shift,0,30,male,square_a_0_05,reference,C1,correct,60701,
abx_constant_phase_shift,0,30,male,pnoise_0_02,reference,C1,incorrect,50702,
abx_constant_phase_shift,0,30,male,square_b_0_06,reference,C1,correct,39848,
abx_constant_phase_shift,0,30,male,castanets_0_04,reference,C1,incorrect,37558,
abx_constant_phase_shift,0,30,male,pnoise_0_05,reference,C1,incorrect,18038,
abx_constant_phase_shift,0,30,male,square_a_0_02,reference,C1,correct,15380,
abx_constant_phase_shift,0,30,male,square_b_0_01,reference,C1,incorrect,57104,
abx_constant_phase_shift,0,30,male,square_a_0_01,reference,C1,correct,24211,
abx_constant_phase_shift,0,30,male,castanets_0_05,reference,C1,correct,22620,
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_02,reference,C1,incorrect,67563,
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_03,reference,C1,incorrect,14962,
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_05,reference,C1,incorrect,27380,
abx_constant_phase_shift,0,30,male,pnoise_0_03,reference,C1,correct,51529,
abx_constant_phase_shift,0,30,male,castanets_0_03,reference,C1,incorrect,39652,
abx_constant_phase_shift,0,30,male,square_a_0_06,reference,C1,correct,11803,
abx_constant_phase_shift,0,30,male,square_a_0_00,reference,C1,correct,12532,
abx_constant_phase_shift,0,30,male,square_a_0_04,reference,C1,correct,12894,
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_01,reference,C1,incorrect,64302,
abx_constant_phase_shift,0,30,male,castanets_0_06,reference,C1,incorrect,31853,
abx_constant_phase_shift,0,30,male,hotelcalifornia_0_04,reference,C1,correct,24411,
abx_constant_phase_shift,0,30,male,castanets_0_00,reference,C1,correct,21023,
abx_constant_phase_shift,0,30,male,castanets_0_02,reference,C1,incorrect,13385,
abx_constant_phase_shift,0,30,male,pnoise_0_06,reference,C1,incorrect,16995,
abx_constant_phase_shift,0,30,male,square_b_0_05,reference,C1,correct,14694,
abx_constant_phase_shift,0,30,male,square_b_0_03,reference,C1,correct,48779,
abx_constant_phase_shift,0,30,male,square_b_0_04,reference,C1,correct,60929,
abx_constant_phase_shift,0,30,male,square_a_0_03,reference,C1,correct,12252,
abx_constant_phase_shift,0,30,male,square_b_0_02,reference,C1,correct,18350,
abx_constant_phase_shift,0,30,male,square_b_0_00,reference,C1,correct,35595,
abx_constant_phase_shift,0,30,male,pnoise_0_01,reference,C1,incorrect,13987,
